Key,Type,Desc,English,Chinese
JobType/Armoursmith__tooltip,Text,,Craft metal armour. Requires a Blacksmith built and make item job designated in the Make Item panel.,制作金属盔甲。需要建造铁匠台，并在相关面板中指定制造物品。
JobType/Bowyer,Text,,Bowyer,制弓匠
JobType/Bowyer__tooltip,Text,,Craft ranged weapons and ammunition. Requires a Bowyer built and make item job designated in the Make Item panel.,制作远程武器及弹药。需要建造制弓台，并在相关面板中指定制造物品。
JobType/Brewer,Text,,Brewer,酿酒师
JobType/Brewer__tooltip,Text,,Brew drinks. Requires a Still built and make item job designated in the Make Item panel.,酿造饮料。需要建造酿酒台，并在相关面板中指定制造物品。
JobType/Carpenter,Text,,Carpenter,木匠
JobType/Carpenter__tooltip,Text,,Build wooden buildings and craft wooden items. Requires a Carpenter's Workshop built.,建造木质建筑和木制品。需要建造木工台。
JobType/Cook,Text,,Cook,厨师
JobType/Cook__tooltip,Text,,Cook food. Requires a Kitchen built and make item job designated in the Make Item panel.,烹饪食物。需要建造厨房，并在相关面板中指定制造物品。
JobType/Crafter,Text,,Crafter,工匠
JobType/Crafter__tooltip,Text,,Craft simple items. Requires a Workshop built and make item job designated in the Make Item panel.,制作简单的物品。需要建造制作台，并在相关面板中指定制造物品。
JobType/Doctor,Text,,Doctor,医生
JobType/Doctor__tooltip,Text,,Treat wounded colonists. Free bed required. Rescuing unconscious colonists uses the hauling job.,治疗受伤的殖民者。需要空余床位。营救失去意识的殖民者需要拖运。
JobType/Farmer,Text,,Farmer,农民
JobType/Farmer__tooltip,Text,,Plant plants and harvest them when mature. Requires a designated farm placed using the Place Farm tool.,种植作物并收获成熟作物。需要建造农田。
JobType/Hauler,Text,,Hauler,搬运工
JobType/Hauler__tooltip,Text,,Transport items around. Place Stockpiles strategically to ensure your workshops always have a close supply of raw materials.,运输物品。恰当搬运并储存物品，以确保所有的工坊均有充足的原材料供应。
JobType/Herbalist,Text,,Herbalist,采集者
JobType/Herbalist__tooltip,Text,,Harvest wild plants for food. Designate plants to harvest using the Harvest Plants tool. Will wait for plants to mature before harvesting.,采集野生植物作为食物。使用收割植物工具指定需要收割的成熟植物。
JobType/Hunter,Text,,Hunter,猎人
JobType/Hunter__tooltip,Text,,Hunt animals for food and hides. Ranged weapon recommended.,狩猎动物以获得食物和皮毛。推荐装备远程武器。
JobType/Jeweller,Text,,Jeweller,珠宝匠
JobType/Jeweller__tooltip,Text,,Cutting of gems and making of jewelry. Requires a Jewellers Workshop.,切割宝石并制作珠宝。需要建造珠宝切割台。
JobType/Mason,Text,,Mason,石匠
JobType/Mason__tooltip,Text,,"Build stone buildings, walls, and craft stone items at the Mason's Workshop.",在石匠台建造石质建筑、墙和石制物品。
JobType/Miner,Text,,Miner,矿工
JobType/Miner__tooltip,Text,,Mine dirt or rock. Requires a designated area using the Dig tool.,挖掘泥土和岩石。需要使用挖掘工具指定挖掘区域。
JobType/Researcher,Text,,Researcher,研究员
JobType/Researcher__tooltip,Text,,Research new technologies in the Research Lab.,在研究台研究新技术。
JobType/SaltWorker,Text,,SaltWorker,制盐工
JobType/SaltWorker__tooltip,Text,,Making of salt through desalination of sea water or processing of rock salt at the Saltworks.,通过淡化海水或在盐工坊加工岩盐来制盐。
JobType/Smelter,Text,,Smelter,冶炼工
JobType/Smelter__tooltip,Text,,Turn ore and fuel into metal ingots. Requires a Furnace built and make item job designated in the Make Item panel.,将金属矿石和燃料转化为金属锭。需要建造熔炉，并在相关面板中指定制造物品。
JobType/Weaponsmith,Text,,Weaponsmith,武器匠
JobType/Weaponsmith__tooltip,Text,,Craft weapons. Requires a Blacksmith built and make item job designated in the Make Item panel.,制作武器。需要建造铁匠台，并在相关面板中指定制造物品。
JobType/Weaver,Text,,Weaver,纺织工
JobType/Weaver__tooltip,Text,,Craft cloth and clothing. Requires a Loom built and make item job designated in the Make Item panel.,制作布和衣服。需要建造纺织布机，并在相关面板中指定制造物品。
JobType/WoodCutter,Text,,WoodCutter,樵夫
JobType/WoodCutter__tooltip,Text,,Cut down trees for wood. Designate trees to cut using the harvest trees tool. Does not work on plants.,砍伐树木获取原木。需要使用砍伐树木工具指定需要砍伐的树木。不适用于植物。
JobType/Writer,Text,,Writer,作家
JobType/Writer__tooltip,Text,,Books improve mood or help other workers improve a skill. Books can also be traded. Writing a book requires a free bookshelf and paper.,书籍能够改善心情或帮助其他工人提高技能。书籍可以被交易。写作需要一个闲置的书架和纸张。
Jobs/Build Building,Text,,,
Jobs/Build Wall,Text,,,
Jobs/Chop Tree,Text,,,
Jobs/Craft,Text,,,
Jobs/Drink Stream Water,Text,,,
Jobs/Find Chat,Text,,,
Jobs/Harvest Crop,Text,,,
Jobs/Harvest Plant,Text,,,
Jobs/Haul Construction Material,Text,,,
Jobs/Haul for {0},Text,,,
Jobs/Haul to Stockpile,Text,,,
Jobs/Haul to Wall,Text,,,
Jobs/Keep Equipment,Text,,,
Jobs/Mine,Text,,,
Jobs/Plant Crop,Text,,,
Jobs/Read Book,Text,,,
Jobs/Research,Text,,,
Jobs/Rest on Chair,Text,,,
Jobs/Rest on Floor,Text,,,
Jobs/Restocking Building,Text,,,
Jobs/Sleep on Bed,Text,,,
Jobs/Sleep on floor,Text,,,
Jobs/Sulk,Text,,,
Jobs/Swim,Text,,,
Jobs/Take Item,Text,,,
Jobs/Take Tool,Text,,,
Jobs/Wander,Text,,,
Key Bindings,Text,,Key Bindings,绑定按键
Left Hand,Text,,Left Hand,左手
Legs,Text,,Legs,腿
Lighting,Text,,Lighting,灯光
Likes {0},Text,,Likes {0},喜欢{0}
Load,Text,,Load,加载
Load Game,Text,,Load Game,加载游戏
Loading,Text,,Loading,载入中
Locked,Text,,Locked,锁定
LotsOf,Text,,,
Main Menu,Text,,Main Menu,主菜单
Maintain Stock,Text,,Maintain Stock,维持库存
Mantain Stock,Text,,Mantain Stock,维持库存
Manually Assign,Text,,Manually Assign,手动分配
Many,Text,,,
Map seed,Text,,Map seed,地图种子
Massive,Text,,Massive,巨大的
Material,Text,,Material,原料
MaterialType/AirWalkable,Text,,Air Walkable,空气
MaterialType/AirWalkableFast,Text,,AirWalkableFast,空气
MaterialType/AirWalkableFastCeiling,Text,,AirWalkableFastCeiling,空气
MaterialType/AirWalkableSlow,Text,,AirWalkableSlow,空气
MaterialType/AirWalkableSlowCeiling,Text,,,
MaterialType/Aluminium,Text,,Aluminum,铝
MaterialType/Amethyst,Text,,Amethyst,紫晶
MaterialType/Animal Product,Text,,Animal Product,动物产品
MaterialType/Apple,Text,,Apple,苹果
MaterialType/AppleWood,Text,,Apple Wood,苹果木
MaterialType/Banana,Text,,Banana,香蕉
MaterialType/Banyan,Text,,Banyan,榕树
MaterialType/Basalt,Text,,Basalt,玄武岩
MaterialType/Bauxite,Text,,Bauxite,铝土矿
MaterialType/BearFur,Text,,Bear Fur,熊皮
MaterialType/BearMeat,Text,,Bear Meat,熊肉
MaterialType/Birch,Text,,Birch,桦木
MaterialType/BirdMeat,Text,,Bird Meat,鸟肉
MaterialType/Blueberry,Text,,Blueberry,蓝莓
MaterialType/Bone,Text,,Bone,骨头
MaterialType/BreadFruit,Text,,Breadfruit,面包果
MaterialType/Bronze,Text,,Bronze,青铜
MaterialType/Building,Text,,Building,建筑物
MaterialType/BunnyFur,Text,,Bunny Fur,兔皮
MaterialType/BunnyMeat,Text,,Bunny Meat,兔肉
MaterialType/CactusFruit,Text,,Cactus Fruit,仙人掌果实
MaterialType/CactusTree,Text,,Cactus Wood,仙人掌木
MaterialType/Cassiterite,Text,,Cassiterite,錫石矿
MaterialType/CaveMushroom,Text,,CaveMushroom,洞穴蘑菇
MaterialType/Chalcopyrite,Text,,Chalcopyrite,黄铜矿
MaterialType/Clay,Text,,Clay,黏土
MaterialType/ClosedDoorWalkable,Text,,ClosedDoorWalkable,关闭的门
MaterialType/Coal,Text,,Coal,煤
MaterialType/CompactedDirtWall,Text,,Compacted Dirt Wall,压实土墙
MaterialType/Conglomerate,Text,,Conglomerate,砾岩
MaterialType/Copper,Text,,Copper,铜
MaterialType/Cotton,Text,,Cotton,棉
MaterialType/Diamond,Text,,Diamond,钻石
MaterialType/Diorite,Text,,Diorite,闪长岩
MaterialType/Dolomite,Text,,Dolomite,白云石
MaterialType/Emerald,Text,,Emerald,翡翠
MaterialType/Fiber,Text,,Fiber,纤维
MaterialType/FlyMeat,Text,,Fly Meat,苍蝇肉
MaterialType/Food,Text,,Food,食物
MaterialType/ForestMushroom,Text,,ForestMushroom,森林蘑菇
MaterialType/Gabbro,Text,,Gabbro,辉长岩
MaterialType/Galena,Text,,Galena,方铅矿
MaterialType/Gems,Text,,Gems,宝石
MaterialType/Glass,Text,,Glass,玻璃
MaterialType/Gneiss,Text,,Gneiss,片麻岩
MaterialType/Gold,Text,,Gold,金
MaterialType/Granite,Text,,Granite,花岗岩
MaterialType/Grass,Text,,,
MaterialType/Halite,Text,,Halite,岩盐
MaterialType/Hemetite,Text,,Hemetite,赤铁矿
MaterialType/Herb,Text,,Herb,草药
MaterialType/HumanSkin,Text,,Human Skin,人皮
MaterialType/Ilmenite,Text,,Ilmenite,钛铁矿
MaterialType/Iron,Text,,Iron,铁
MaterialType/Kapok,Text,,Kapok,木棉
MaterialType/LadderNorth,Text,,LadderNorth,梯子
MaterialType/Lead,Text,,Lead,铅
MaterialType/Limestone,Text,,Limestone,石灰石
MaterialType/Loam,Text,,Loam,沃土
MaterialType/LushGrass,Text,,LushGrass,高草
MaterialType/Marble,Text,,Marble,大理石
MaterialType/Metal,Text,,Metal,金属
MaterialType/MetalReinforcedWall,Text,,Metal Reinforced Wall,金属加固墙
MaterialType/MushroomTree,Text,,Mushroom Tree,蘑菇树
MaterialType/MysteryMeat,Text,,Mystery Meat,神秘肉
MaterialType/Natural Rocks,Text,,Natural Rocks,天然岩石
MaterialType/Nitre,Text,,Nitre,钾硝石
MaterialType/None,Text,,None,没有
MaterialType/Oak,Text,,Oak,橡木
MaterialType/Obsidian,Text,,Obsidian,黑曜石
MaterialType/Opal,Text,,Opal,蛋白石
MaterialType/Ore,Text,,Ore,矿石
MaterialType/Peat,Text,,Peat,泥炭
MaterialType/Permafrost,Text,,Permafrost,永久冻土
MaterialType/Pine,Text,,Pine,松树
MaterialType/PlantFibre,Text,,Plant Fibre,植物纤维
MaterialType/Potato,Text,,Potato,马铃薯
MaterialType/Quartzite,Text,,Quartzite,石英岩
MaterialType/Rice,Text,,Rice,米饭
MaterialType/RiceGrain,Text,,Rice Grain,稻米
MaterialType/Ruby,Text,,Ruby,红宝石
MaterialType/Salt,Text,,Salt,盐
MaterialType/Sand,Text,,Sand,沙
MaterialType/Sandstone,Text,,Sandstone,砂岩
MaterialType/Schist,Text,,Schist,片岩
MaterialType/Shale,Text,,Shale,页岩
MaterialType/SheepMeat,Text,,Sheepmeat,羊肉
MaterialType/Show All,Text,,Show All,显示所有
MaterialType/Silk,Text,,Silk,丝
MaterialType/Silt,Text,,Silt,淤泥
MaterialType/Silver,Text,,Silver,银
MaterialType/Slate,Text,,Slate,石板
MaterialType/Soil,Text,,Soil,土壤
MaterialType/Sphalerite,Text,,Sphalerite,闪锌矿
MaterialType/SpiderChitin,Text,,Spider Chitin,蜘蛛壳
MaterialType/SpiderMeat,Text,,Spider Meat,蜘蛛肉
MaterialType/Steel,Text,,Steel,钢
MaterialType/StoneWall,Text,,StoneWall,石墙
MaterialType/StrongStoneWall,Text,,Strong Stone Wall,加固石墙
MaterialType/Tin,Text,,Believe,锡
MaterialType/Titanium,Text,,Titanium,钛
MaterialType/Tomato,Text,,Tomato,番茄
MaterialType/Tree,Text,,Tree,树木
MaterialType/Unknown,Text,,Unknown,未知
MaterialType/Wall,Text,,Wall,墙
MaterialType/WaterSalty8,Text,,WaterSalty8,咸水
MaterialType/WheatFlour,Text,,WheatFlour,面粉
MaterialType/WheatGrain,Text,,Wheat Grains,谷物
MaterialType/WolfFur,Text,,Wolf Fur,狼皮
MaterialType/WolfMeat,Text,,Wolf Meat,狼肉
MaterialType/Wood,Text,,Wood,木材
MaterialType/WoodenWall,Text,,Wooden Wall,木墙
MaterialType/Wool,Text,,Wool,羊毛
MaterialType/Zinc,Text,,Zinc,锌
Materials,Text,,Materials,原料
Materials Needed,Text,,Materials Needed,所需原料
Medical Settings,Text,,Medical Settings,医疗设置
Military,Text,,Military,军事
Min quality,Text,,Min Quality,最低质量
Mod Name,Text,,Mod Name,Mod名称
Mood,Text,,,
Name,Text,,Name,名称
Needed,Text,,Needed,需要
New Game,Text,,New Game,新游戏
New Preset,Text,,New Preset,新预设
New Squad,Text,,New Squad,新小队
New Uniform,Text,,New Uniform,新制服
New World,Text,,New World,新世界
Next,Text,,Next,下一步
No Items Assigned,Text,,No Items Assigned,没有分配物品
No Items Found,Text,,No Items Found,没有找到物品
No Items Selected,Text,,No Items Selected,没有选定物品
No Known Factions,Text,,No Known Factions,无已知势力
No Owner,Text,,No Owner,无所有者
No Skills,Text,,,
No Squads found. Workers need to be put into squads to be controlled.,Text,,"No Squads found.

Workers need to be put into squads to be controlled.",没有找到小队。需要将殖民者加入编队以进行控制。
No Traits,Text,,No Traits,无特点
No Workshops. Build a workshop to be able to order items.,Text,,No Workshops. Build a workshop to be able to order items.,无工坊。建立一个能够订购物品的工坊。
No colonists,Text,,No colonists,无殖民者
No materials found.,Text,,No materials found.,没有找到原料
No save games,Text,,No save games,无存档
No seeds found. Harvest wild crops to find seeds to plant.,Text,,No seeds found. Harvest wild crops to find seeds to plant.,无种子。收获野生作物以寻找种子来种植。
No starting setups saved.,Text,,No starting setups saved.,未保存启动设置
None,Text,,None,无
Normal,Text,,Normal,普通
Normal Bed,Text,,Normal Bed,普通的床
Nothing found,Text,,Nothing was found,什么都没找到
Notification,Text,,Notification,通知
One Time,Text,,One Time,一次性
One Time Order,Text,,One Time Order,一次性订单
"Oops, Embark has crashed. The game will now try to save but it is recommended to load your previous save instead. Please use the upload save feature in the load game menu to upload the save game to help us find out what went wrong.",Text,,"Oops, Embark has crashed. The game will now try to save but it is recommended to load your previous save instead.
Please use the upload save feature in the load game menu to upload the save game to help us find out what went wrong.",抱歉，游戏发生了未知错误。游戏将会尝试保存，但建议您加载之前的存档。
Opt-out of error reporting,Text,,Opt-out of error reporting,游戏错误报告
Options,Text,,Options,选项
OptionsInfo/Ambient Occlusion,Text,,Ambient Occlusion,环境光遮蔽
OptionsInfo/Ambient Occlusion__tooltip,Text,,Ambient occlusion amount,环境光遮蔽
OptionsInfo/Anti Aliasing (FXAA),Text,,Anti Aliasing (Fxaa),抗锯齿
OptionsInfo/Anti Aliasing (FXAA)__tooltip,Text,,Anti Aliasing,抗锯齿
OptionsInfo/Autosave,Text,,Autosave,自动保存
OptionsInfo/Autosave__tooltip,Text,,Autosave frequency,自动保存间隔
OptionsInfo/Draw Distance,Text,,Draw Distance,镜头范围
OptionsInfo/Draw Distance__tooltip,Text,,Camera draw distance,镜头显示范围
OptionsInfo/Erosion,Text,,Erosion,侵蚀
OptionsInfo/Erosion__tooltip,Text,,"Erosion during map generation, turn off if you are crashing during map generation.",地图生成时侵蚀，如果在地图生成期间崩溃则关闭侵蚀。
OptionsInfo/Fullscreen,Text,,Fullscreen,全屏
OptionsInfo/Fullscreen__tooltip,Text,,Fullscreen,全屏
OptionsInfo/Graphics Quality,Text,,Graphics Quality,图像质量
OptionsInfo/Graphics Quality__tooltip,Text,,Graphic quality presets,图像质量预设
OptionsInfo/Grass,Text,,Grass,草地
OptionsInfo/Grass__tooltip,Text,,Grass shader,草地着色
OptionsInfo/Language,Text,,Language,语言
OptionsInfo/Language__tooltip,Text,,Language,语言
OptionsInfo/Look Sensitivity,Text,,Look Sensitivity,镜头灵敏度
OptionsInfo/Look Sensitivity__tooltip,Text,,Speed at which camera rotates.,镜头旋转的速度
OptionsInfo/Map Scroll Multiplier,Text,,Map Scroll Multiplier,地图滚动倍数
OptionsInfo/Map Scroll Multiplier__tooltip,Text,,Higher value means that you scroll faster when zoomed out more.,该值越高表明在缩小时滚动速度越快
OptionsInfo/Map Scroll Speed,Text,,Map Scroll Speed,地图滚动速度
OptionsInfo/Map Scroll Speed__tooltip,Text,,Speed at which camera moves around map.,镜头在地图上移动的速度
OptionsInfo/Master Volume,Text,,Master Volume,游戏音量
OptionsInfo/Master Volume__tooltip,Text,,Master volume,游戏音量
OptionsInfo/Metric,Text,,Metric,公制单位
OptionsInfo/Metric__tooltip,Text,,Use metric or imperial units for measurements,在游戏中使用公制或英制单位
OptionsInfo/Music Volume,Text,,Music Volume,音乐音量
OptionsInfo/Music Volume__tooltip,Text,,Music volume,音乐音量
OptionsInfo/Reflections,Text,,Reflections,水面倒影
OptionsInfo/Reflections__tooltip,Text,,Water reflections,水面倒影
OptionsInfo/Resolution,Text,,Resolution,分辨率
OptionsInfo/Resolution__tooltip,Text,,Screen resolution,分辨率
OptionsInfo/Shadow Quality,Text,,Shadow Quality,阴影质量
OptionsInfo/Shadow Quality__tooltip,Text,,Shadow quality,阴影质量
OptionsInfo/Sound Volume,Text,,Sound Volume,音效音量
OptionsInfo/Sound Volume__tooltip,Text,,Volume of sound effects,音效音量
OptionsInfo/Target Framerate,Text,,Target Framerate,图像帧率
OptionsInfo/Target Framerate__tooltip,Text,,Target framerate,图像帧率
OptionsInfo/Texture Quality,Text,,Texture Quality,纹理质量
OptionsInfo/Texture Quality__tooltip,Text,,Texture quality,纹理质量
OptionsInfo/Tutorial,Text,,Tutorial,教程
OptionsInfo/Tutorial__tooltip,Text,,Enable or disable tutorial,启用或禁用教程
OptionsInfo/UI Scale,Text,,U Stairs,U台阶
OptionsInfo/UI Scale__tooltip,Text,,UI Scale,界面比例
OptionsInfo/Vsync,Text,,Vsync,垂直同步
OptionsInfo/Vsync__tooltip,Text,,Vsync,垂直同步
OptionsInfo/World Generation Quality,Text,,World Generation Quality,世界生成质量
OptionsInfo/World Generation Quality__tooltip,Text,,Reduce if you are crashing during world generation,如果在世界生成期间崩溃则降低质量。
OptionsInfo/Zoom Sensitivity,Text,,Zoom Sensitivity,缩放灵敏度
OptionsInfo/Zoom Sensitivity__tooltip,Text,,Camera zoom sensitivity,镜头缩放灵敏度
OptionsKeyInfo/Barrel,Text,,Barrel,桶
OptionsKeyInfo/Bed,Text,,Bed,床
OptionsKeyInfo/Blacksmith,Text,,Blacksmith,铁匠
OptionsKeyInfo/Bookmark 0,Text,,Bookmark 0,标签0
OptionsKeyInfo/Bookmark 1,Text,,Bookmark 1,标签1
OptionsKeyInfo/Bookmark 2,Text,,Bookmark 2,标签2
OptionsKeyInfo/Bookmark 3,Text,,Bookmark 3,标签3
OptionsKeyInfo/Bookmark 4,Text,,Bookmark 4,标签4
OptionsKeyInfo/Bookmark 5,Text,,Bookmark 5,标签5
OptionsKeyInfo/Bookmark 6,Text,,Bookmark 6,标签6
OptionsKeyInfo/Bookmark 7,Text,,Bookmark 7,标签7
OptionsKeyInfo/Bookmark 8,Text,,Bookmark 8,标签8
OptionsKeyInfo/Bookmark 9,Text,,Bookmark 9,标签9
OptionsKeyInfo/Bookshelf,Text,,Bookshelf,书架
OptionsKeyInfo/Bowyer,Text,,Bowyer,制弓匠
OptionsKeyInfo/Build Farm,Text,,Farm,建造农田
OptionsKeyInfo/Build Grave,Text,,Build Grave,建造坟墓
OptionsKeyInfo/Build Jeweller's Workshop,Text,,Build Jeweller's Workshop,建造珠宝切割台
OptionsKeyInfo/Build Menu,Text,,Build Menu,建造菜单
OptionsKeyInfo/Build Saltworks,Text,,Build Saltworks,建造盐工坊
OptionsKeyInfo/Build Wall,Text,,Walls,建造墙
OptionsKeyInfo/Category Advanced Workshops,Text,,Advanced Workshops,高级工坊
OptionsKeyInfo/Category Basic Workshops,Text,,Basic Workshops,初级工坊
OptionsKeyInfo/Category Decor,Text,,Decor,装饰
OptionsKeyInfo/Category Furniture,Text,,Furniture,家具
OptionsKeyInfo/Category Misc,Text,,Misc,杂项
OptionsKeyInfo/Chair,Text,,Chair,椅子
OptionsKeyInfo/Chest,Text,,Chest,箱子
OptionsKeyInfo/Citizens,Text,,Citizens,居民
OptionsKeyInfo/Close Current Panel,Text,,Close Current Panel,关闭当前面板
OptionsKeyInfo/Create Stockpile,Text,,Stockpile,储存区
OptionsKeyInfo/Curtain,Text,,Curtain,窗帘
OptionsKeyInfo/Decrease Build Wall Height,Text,,Decrease Build Wall Height,降低建筑墙高度
OptionsKeyInfo/Decrease Job Priority,Text,,Decrease Job Priority,降低工作优先级
OptionsKeyInfo/Dig,Text,,Dig,挖掘
OptionsKeyInfo/Door,Text,,By,门
OptionsKeyInfo/Down One Z Level,Text,,Down One Z Level,降低一个方块的高度
OptionsKeyInfo/Factions,Text,,Factions,势力
OptionsKeyInfo/Fast Speed,Text,,Fast Speed,2倍速度
OptionsKeyInfo/Fastest Speed,Text,,Fastest Speed,3倍速度
OptionsKeyInfo/Fence,Text,,Fence,围栏
OptionsKeyInfo/Furnace,Text,,Furnace,熔炉
OptionsKeyInfo/Gate,Text,,Gate,门
OptionsKeyInfo/Give Orders,Text,,Give Orders,下命令
OptionsKeyInfo/Harvest Plant,Text,,Harvest Plants,收获植物
OptionsKeyInfo/Harvest Tree,Text,,Harvest Trees,砍伐树木
OptionsKeyInfo/Hold to replace,Text,,Hold to replace,等待替换
OptionsKeyInfo/Hunt,Text,,Hunt,狩猎
OptionsKeyInfo/Increase Build Wall Height,Text,,Increase Build Wall Height,增加建筑墙高度
OptionsKeyInfo/Increase Job Priority,Text,,Increase Job Priority,提高工作优先级
OptionsKeyInfo/Item Orders,Text,,Order Item,物品订单
OptionsKeyInfo/Jobs,Text,,Jobs,工作
OptionsKeyInfo/Kitchen,Text,,Kitchen,厨房
OptionsKeyInfo/Ladder,Text,,Ladder,梯子
OptionsKeyInfo/Loom,Text,,Loom,织布机
OptionsKeyInfo/Map,Text,,Map,地图
OptionsKeyInfo/MasonWorkshop,Text,,Mason Workshop,石匠台
OptionsKeyInfo/Mechanism,Text,,Mechanism,机械构件
OptionsKeyInfo/Menu,Text,,Menu,菜单
OptionsKeyInfo/Move Panel,Text,,Move Panel,移动面板
OptionsKeyInfo/Movement Orders,Text,,Movement Orders,移动订单
OptionsKeyInfo/Next Character,Text,,Next Character,下一个角色
OptionsKeyInfo/Normal Speed,Text,,Normal Speed,正常速度
OptionsKeyInfo/Overlay Military,Text,,Overlay Military,军事浮窗
OptionsKeyInfo/Overlay Normal,Text,,Overlay Normal,正常浮窗
OptionsKeyInfo/Overlay Prospecting,Text,,Overlay Prospecting,勘探浮窗
OptionsKeyInfo/Overlay Rooms,Text,,Overlay Rooms,房间浮窗
OptionsKeyInfo/Overlay Water,Text,,Overlay Water,水资源浮窗
OptionsKeyInfo/Painting,Text,,Painting,绘画
OptionsKeyInfo/Pause,Text,,Pause,暂停
OptionsKeyInfo/Previous Character,Text,,Previous Character,上一个角色
OptionsKeyInfo/Quick Load,Text,,Quick Load,快速加载
OptionsKeyInfo/Quick Save,Text,,Quick Save,快速保存
OptionsKeyInfo/Relationships Panel,Text,,Relationships,关系
OptionsKeyInfo/Remove Building,Text,,Remove Building,移除建筑物
OptionsKeyInfo/Remove Orders,Text,,Remove Orders,删除订单
OptionsKeyInfo/Research Panel,Text,,Research,研究
OptionsKeyInfo/Reset Camera,Text,,Reset Camera,重置镜头
OptionsKeyInfo/Rotate Building Left,Text,,Rotate Building Left,向左旋转建筑物
OptionsKeyInfo/Rotate Building Right,Text,,Rotate Building Right,向右旋转建筑物
OptionsKeyInfo/Rotate Camera,Text,,Rotate Camera,旋转镜头
OptionsKeyInfo/Screenshot,Text,,Screenshot,截图
OptionsKeyInfo/Scroll Down,Text,,Scroll Down,向下滚动
OptionsKeyInfo/Scroll Left,Text,,Scroll Left,向左滚动
OptionsKeyInfo/Scroll Right,Text,,Scroll Right,向右滚动
OptionsKeyInfo/Scroll Up,Text,,Scroll Up,向上滚动
OptionsKeyInfo/Sculpture,Text,,Sculpture,雕像
OptionsKeyInfo/Select Object,Text,,Select Object,选择对象
OptionsKeyInfo/Stairs,Text,,Stairs,台阶
OptionsKeyInfo/Still,Text,,Still,酿酒台
OptionsKeyInfo/Stocks,Text,,Stocks,存货
OptionsKeyInfo/Stop Selection,Text,,Stop Selection,停止选择
OptionsKeyInfo/Table,Text,,Table,桌子
OptionsKeyInfo/Tame,Text,,Tame,驯服
OptionsKeyInfo/Toggle UI,Text,,Toggle Ui,UI开关
OptionsKeyInfo/Torch,Text,,Torch,火把
OptionsKeyInfo/Up One Z Level,Text,,Up One Z Level,抬高一个方块的高度
OptionsKeyInfo/Vase,Text,,Vase,花瓶
OptionsKeyInfo/Water Pump,Text,,Water Pump,水泵
OptionsKeyInfo/Water Works,Text,,Water Works,给水装置
OptionsKeyInfo/Windmill,Text,,Windmill,风车
OptionsKeyInfo/Window,Text,,Window,窗户
OptionsKeyInfo/Woodshop,Text,,Woodshop,木材店
OptionsKeyInfo/Workshop,Text,,Workshop,工坊
OptionsKeyInfo/Zoom In Map,Text,,Zoom In Map,放大地图
OptionsKeyInfo/Zoom Out Map,Text,,Zoom Out Map,缩小地图
OptionsKeyInfo/Zoom To Next Alert,Text,,Zoom To Next Alert,移动至下一个警报
OptionsKeyInfo/Zoom To Position,Text,,Zoom To Position,移动至当前位置
OptionsKeyInfo/Zoom to Bookmark 0,Text,,Zoom to Bookmark 0,移动至标签0
OptionsKeyInfo/Zoom to Bookmark 1,Text,,Zoom to Bookmark 1,移动至标签1
OptionsKeyInfo/Zoom to Bookmark 2,Text,,Zoom to Bookmark 2,移动至标签2
OptionsKeyInfo/Zoom to Bookmark 3,Text,,Zoom to Bookmark 3,移动至标签3
OptionsKeyInfo/Zoom to Bookmark 4,Text,,Zoom To Bookmark 4,移动至标签4
OptionsKeyInfo/Zoom to Bookmark 5,Text,,Zoom to Bookmark 5,移动至标签5
OptionsKeyInfo/Zoom to Bookmark 6,Text,,Zoom to Bookmark 6,移动至标签6
OptionsKeyInfo/Zoom to Bookmark 7,Text,,Zoom to Bookmark 7,移动至标签7
OptionsKeyInfo/Zoom to Bookmark 8,Text,,Zoom to Bookmark 8,移动至标签8
OptionsKeyInfo/Zoom to Bookmark 9,Text,,Zoom to Bookmark 9,移动至标签9
Order Item,Text,,Order Item,订做物品
Order new Item(s),Text,,Order new Item(s),订做新物品
Orders,Text,,Orders,订单
Overlays,Text,,Overlays,浮窗
Owner(s),Text,,Owner(s),拥有者
Passive,Text,,Passive,消极
PerkInfo/Abundant Game,Text,,Abundant Game,丰富游戏
PerkInfo/Abundant Game__tooltip,Text,,The starting area has an abundance of easily hunted animals.,起始区域内有大量可以被轻松猎杀的动物。
PerkInfo/Clothing,Text,,Clothing,服装
PerkInfo/Clothing__tooltip,Text,,You start with some basic clothes.,开始游戏时有一些基本衣物。
PerkInfo/Cotton,Text,,Cotton,棉
PerkInfo/Diplomacy,Text,,Diplomacy,外交
PerkInfo/Diplomacy__tooltip,Text,,You have more time to prepare for the first attack.,有更充裕的时间来应对第一次袭击。
PerkInfo/Drinks,Text,,Drinks,开始游戏时有一大堆酒。
PerkInfo/Drinks__tooltip,Text,,You start with some drinks.,开始游戏时有一些饮品。
PerkInfo/Leadership,Text,,Leadership,领导能力
PerkInfo/Leadership__tooltip,Text,,Everyone starts friendlier with each other.,每个人都彼此友好相处。
PerkInfo/Lumber Stash,Text,,Lumber Stash,木材储备
PerkInfo/Lumber Stash__tooltip,Text,,You start with a stash of wood.,开始游戏时有一堆木材。
PerkInfo/Optimism,Text,,Optimism,乐观
PerkInfo/Optimism__tooltip,Text,,Everyone starts happier.,每个人开始时都很快乐。
PerkInfo/Potato Seeds,Text,,Potato Seeds,马铃薯种子
